home_away,ab,r,h,rbi,bb,so,pa,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,pitches,strikes_total,wpa_bat,leverage_index_avg,wpa_bat_pos,wpa_bat_neg,re24_bat,po,a,game_id,team
home,33,3,8,3,4,11,37,0.242,0.324,0.333,0.657,151,97,,,,,,27,13,NYMSTL20240301D,STL
away,31,2,7,2,3,4,34,0.226,0.294,0.355,0.649,131,81,,,,,,24,4,NYMSTL20240301D,NYM
home,35,7,12,7,3,5,39,0.343,0.385,0.571,0.956,64,49,,,,,,27,9,STLHOU20240302D,HOU
away,33,1,6,1,4,8,37,0.182,0.27,0.303,0.573,69,51,,,,,,24,8,STLHOU20240302D,STL
home,30,3,5,3,2,12,32,0.167,0.219,0.3,0.519,65,55,,,,,,27,8,CWSLAA20240303D,LAA
away,31,1,4,1,2,9,35,0.129,0.229,0.226,0.455,58,49,,,,,,24,5,CWSLAA20240303D,CWS
home,31,5,10,5,4,9,36,0.323,0.389,0.419,0.808,71,50,,,,,,27,9,AZCWS20240304D,WS2
away,38,2,10,2,4,11,42,0.263,0.333,0.368,0.701,81,62,,,,,,24,8,AZCWS20240304D,AZC
home,29,3,7,3,3,10,33,0.241,0.303,0.276,0.579,63,50,,,,,,27,11,DETATL20240305D,ATL
away,29,0,6,0,4,8,33,0.207,0.303,0.241,0.544,61,45,,,,,,24,8,DETATL20240305D,DET
home,34,6,9,5,3,12,39,0.265,0.359,0.5,0.859,142,97,,,,,,27,19,LAACHC20240306D,CHC
away,33,5,6,3,2,7,36,0.182,0.222,0.394,0.616,131,91,,,,,,24,7,LAACHC20240306D,LAA
home,36,7,12,7,1,11,38,0.333,0.368,0.444,0.812,140,96,,,,,,27,12,CHCAZ20240308D,AZ2
away,30,5,5,5,3,4,33,0.167,0.242,0.4,0.642,137,84,,,,,,24,3,CHCAZ20240308D,CHC
home,36,7,13,7,4,6,41,0.361,0.439,0.639,1.078,71,51,,,,,,27,10,TEXLAD20240309D,LAD
away,30,1,3,1,2,14,32,0.1,0.156,0.1,0.256,67,58,,,,,,24,6,TEXLAD20240309D,TEX
home,33,6,9,6,2,11,39,0.273,0.333,0.515,0.848,154,95,,,,,,27,7,BALTOR20240310D,TOR
