away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
ARI,CIN,20220302,01:05,N,Goodyear Ballpark,outdoor,0,0,0,0,0,0,ARICIN20220302N
DET,PHI,20220301,18:05,D,BayCare Ballpark,outdoor,0,0,0,0,0,0,DETPHI20220301D
HOU,ATL,20220301,18:05,D,CoolToday Park,outdoor,0,0,0,0,0,0,HOUATL20220301D
SEA,MIL,20220301,20:10,D,American Family Fields of Phoenix,outdoor,0,0,0,0,0,0,SEAMIL20220301D
BAL,MIN,20220301,18:05,D,CenturyLink Sports Complex,outdoor,0,0,0,0,0,0,BALMIN20220301D
LAD,OAK,20220301,20:05,D,Hohokam Stadium,outdoor,0,0,0,0,0,0,LADOAK20220301D
STL,WSH,20220301,18:05,D,FITTEAM Ballpark of the Palm Beaches,outdoor,0,0,0,0,0,0,STLWSH20220301D
DET,TOR,20220301,18:07,D,TD Ballpark,outdoor,0,0,0,0,0,0,DETTOR20220301D
KC,CWS,20220301,20:05,D,Camelback Ranch,outdoor,0,0,0,0,0,0,KCCWS20220301D
LAA,SD,20220301,20:10,D,Peoria Sports Complex,outdoor,0,0,0,0,0,0,LAASD20220301D
SF,CHC,20220301,20:05,D,Sloan Park,outdoor,0,0,0,0,0,0,SFCHC20220301D
TB,NYY,20220301,18:05,D,George M. Steinbrenner Field,outdoor,0,0,0,0,0,0,TBNYY20220301D
NYM,MIA,20220301,18:05,D,Roger Dean Stadium,outdoor,0,0,0,0,0,0,NYMMIA20220301D
CHC,TEX,20220301,20:05,D,Surprise Stadium,outdoor,0,0,0,0,0,0,CHCTEX20220301D
CLE,COL,20220301,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,0,0,0,0,CLECOL20220301D
STL,MIA,20220302,18:05,D,Roger Dean Stadium,outdoor,0,0,0,0,0,0,STLMIA20220302D
SD,KC,20220302,20:05,D,Surprise Stadium,outdoor,0,0,0,0,0,0,SDKC20220302D
COL,LAD,20220302,20:05,D,Camelback Ranch,outdoor,0,0,0,0,0,0,COLLAD20220302D
MIL,CLE,20220302,20:05,D,Goodyear Ballpark,outdoor,0,0,0,0,0,0,MILCLE20220302D
HOU,BOS,20220302,18:05,D,JetBlue Park,outdoor,0,0,0,0,0,0,HOUBOS20220302D
BOS,BAL,20220302,18:05,D,Ed Smith Stadium,outdoor,0,0,0,0,0,0,BOSBAL20220302D
TEX,ARI,20220302,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,0,0,0,0,TEXARI20220302D
CIN,OAK,20220302,20:05,D,Hohokam Stadium,outdoor,0,0,0,0,0,0,CINOAK20220302D
SF,SEA,20220302,20:10,D,Peoria Sports Complex,outdoor,0,0,0,0,0,0,SFSEA20220302D
LAA,CHC,20220302,20:05,D,Sloan Park,outdoor,0,0,0,0,0,0,LAACHC20220302D
PIT,DET,20220302,18:05,D,Publix Field at Joker Marchant Stadium,outdoor,0,0,0,0,0,0,PITDET20220302D
ATL,TB,20220302,18:05,D,Charlotte Sports Park,outdoor,0,0,0,0,0,0,ATLTB20220302D
NYM,WSH,20220302,23:05,N,FITTEAM Ballpark of the Palm Beaches,outdoor,0,0,0,0,0,0,NYMWSH20220302N
CWS,SF,20220302,20:05,D,Scottsdale Stadium,outdoor,0,0,0,0,0,0,CWSSF20220302D
TOR,MIN,20220302,18:05,D,CenturyLink Sports Complex,outdoor,0,0,0,0,0,0,TORMIN20220302D
NYY,PHI,20220302,18:05,D,BayCare Ballpark,outdoor,0,0,0,0,0,0,NYYPHI20220302D
CHC,SD,20220303,20:10,D,Peoria Sports Complex,outdoor,0,0,0,0,0,0,CHCSD20220303D
SEA,COL,20220303,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,0,0,0,0,SEACOL20220303D
SF,LAA,20220303,20:10,D,Tempe Diablo Stadium,outdoor,0,0,0,0,0,0,SFLAA20220303D
DET,STL,20220303,18:05,D,Roger Dean Stadium,outdoor,0,0,0,0,0,0,DETSTL20220303D
LAD,MIL,20220303,20:10,D,American Family Fields of Phoenix,outdoor,0,0,0,0,0,0,LADMIL20220303D
NYY,TOR,20220303,18:07,D,TD Ballpark,outdoor,0,0,0,0,0,0,NYYTOR20220303D
PHI,BAL,20220303,18:05,D,Ed Smith Stadium,outdoor,0,0,0,0,0,0,PHIBAL20220303D
CIN,CWS,20220303,20:05,D,Camelback Ranch,outdoor,0,0,0,0,0,0,CINCWS20220303D
WSH,HOU,20220303,23:05,N,FITTEAM Ballpark of the Palm Beaches,outdoor,0,0,0,0,0,0,WSHHOU20220303N
TB,PIT,20220303,18:05,D,LECOM Park,outdoor,0,0,0,0,0,0,TBPIT20220303D
ARI,CLE,20220303,20:05,D,Goodyear Ballpark,outdoor,0,0,0,0,0,0,ARICLE20220303D
KC,TEX,20220303,20:05,D,Surprise Stadium,outdoor,0,0,0,0,0,0,KCTEX20220303D
MIN,ATL,20220303,18:05,D,CoolToday Park,outdoor,0,0,0,0,0,0,MINATL20220303D
ATL,BOS,20220303,18:05,D,JetBlue Park,outdoor,0,0,0,0,0,0,ATLBOS20220303D
MIA,NYM,20220303,18:10,D,Clover Park,outdoor,0,0,0,0,0,0,MIANYM20220303D
MIL,KC,20220304,20:05,D,Surprise Stadium,outdoor,0,0,0,0,0,0,MILKC20220304D
HOU,NYM,20220304,18:10,D,Clover Park,outdoor,0,0,0,0,0,0,HOUNYM20220304D
ATL,PHI,20220304,18:05,D,BayCare Ballpark,outdoor,0,0,0,0,0,0,ATLPHI20220304D
MIA,STL,20220304,18:05,D,Roger Dean Stadium,outdoor,0,0,0,0,0,0,MIASTL20220304D
OAK,CHC,20220304,20:05,D,Sloan Park,outdoor,0,0,0,0,0,0,OAKCHC20220304D
TEX,SF,20220305,02:05,N,Scottsdale Stadium,outdoor,0,0,0,0,0,0,TEXSF20220305N
CLE,SEA,20220304,20:10,D,Peoria Sports Complex,outdoor,0,0,0,0,0,0,CLESEA20220304D
COL,CIN,20220304,20:05,D,Goodyear Ballpark,outdoor,0,0,0,0,0,0,COLCIN20220304D
BAL,NYY,20220304,23:35,N,George M. Steinbrenner Field,outdoor,0,0,0,0,0,0,BALNYY20220304N
DET,WSH,20220304,18:05,D,FITTEAM Ballpark of the Palm Beaches,outdoor,0,0,0,0,0,0,DETWSH20220304D
TB,MIN,20220304,18:05,D,CenturyLink Sports Complex,outdoor,0,0,0,0,0,0,TBMIN20220304D
CWS,LAA,20220304,20:10,D,Tempe Diablo Stadium,outdoor,0,0,0,0,0,0,CWSLAA20220304D
BOS,TB,20220304,18:05,D,Charlotte Sports Park,outdoor,0,0,0,0,0,0,BOSTB20220304D
KC,LAD,20220305,01:05,N,Camelback Ranch,outdoor,0,0,0,0,0,0,KCLAD20220305N
SD,ARI,20220304,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,0,0,0,0,SDARI20220304D
COL,SF,20220305,20:05,D,Scottsdale Stadium,outdoor,0,0,0,0,0,0,COLSF20220305D
KC,CIN,20220305,20:05,D,Goodyear Ballpark,outdoor,0,0,0,0,0,0,KCCIN20220305D
CWS,LAD,20220305,20:05,D,Camelback Ranch,outdoor,0,0,0,0,0,0,CWSLAD20220305D
CLE,SD,20220305,20:10,D,Peoria Sports Complex,outdoor,0,0,0,0,0,0,CLESD20220305D
MIN,BOS,20220305,18:05,D,JetBlue Park,outdoor,0,0,0,0,0,0,MINBOS20220305D
LAA,OAK,20220305,20:05,D,Hohokam Stadium,outdoor,0,0,0,0,0,0,LAAOAK20220305D
MIA,HOU,20220305,18:05,D,FITTEAM Ballpark of the Palm Beaches,outdoor,0,0,0,0,0,0,MIAHOU20220305D
BAL,ATL,20220305,23:05,N,CoolToday Park,outdoor,0,0,0,0,0,0,BALATL20220305N
PHI,TB,20220305,18:05,D,Charlotte Sports Park,outdoor,0,0,0,0,0,0,PHITB20220305D
LAD,TEX,20220305,20:05,D,Surprise Stadium,outdoor,0,0,0,0,0,0,LADTEX20220305D
NYY,PIT,20220305,18:05,D,LECOM Park,outdoor,0,0,0,0,0,0,NYYPIT20220305D
CHC,MIL,20220305,20:10,D,American Family Fields of Phoenix,outdoor,0,0,0,0,0,0,CHCMIL20220305D
SEA,ARI,20220305,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,0,0,0,0,SEAARI20220305D
WSH,NYM,20220305,18:10,D,Clover Park,outdoor,0,0,0,0,0,0,WSHNYM20220305D
