away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
NYM,STL,2024-03-01,18:05,D,Roger Dean Stadium,outdoor,1,0,7,8,2,3,NYMSTL20240301D
OAK,KC,2024-03-01,20:05,D,Surprise Stadium,outdoor,2,0,11,7,4,5,OAKKC20240301D
BAL,ATL,2024-03-01,18:05,D,CoolToday Park,outdoor,0,0,7,6,3,1,BALATL20240301D
AZ,CIN,2024-03-02,01:05,N,Goodyear Ballpark,outdoor,2,3,18,15,12,8,AZCIN20240302N
CLE,LAD,2024-03-02,01:05,N,Camelback Ranch,outdoor,0,1,7,9,4,6,CLELAD20240302N
HOU,WSH,2024-03-01,18:05,D,CACTI Park of the Palm Beaches,outdoor,4,2,10,12,10,8,HOUWSH20240301D
CWS,CHC,2024-03-01,20:05,D,Sloan Park,outdoor,1,0,10,9,6,10,CWSCHC20240301D
SEA,COL,2024-03-01,20:10,D,Salt River Fields at Talking Stick,outdoor,1,1,10,16,9,10,SEACOL20240301D
TB,PIT,2024-03-01,18:05,D,LECOM Park,outdoor,1,0,12,8,8,12,TBPIT20240301D
LAA,SD,2024-03-01,20:10,D,Peoria Sports Complex,outdoor,3,2,8,6,5,3,LAASD20240301D
MIA,PHI,2024-03-01,18:05,D,BayCare Ballpark,outdoor,0,0,8,9,6,6,MIAPHI20240301D
BOS,MIN,2024-03-01,18:05,D,CenturyLink Sports Complex,outdoor,0,1,6,3,3,5,BOSMIN20240301D
TEX,SF,2024-03-01,20:05,D,Scottsdale Stadium,outdoor,2,0,8,15,5,11,TEXSF20240301D
PHI,DET,2024-03-01,18:05,D,Publix Field at Joker Marchant Stadium,outdoor,0,2,9,9,2,4,PHIDET20240301D
TOR,NYY,2024-03-01,23:35,N,George M. Steinbrenner Field,outdoor,2,0,10,9,4,8,TORNYY20240301N
SD,MIL,2024-03-01,20:10,D,American Family Fields of Phoenix,outdoor,1,1,10,6,3,4,SDMIL20240301D
STL,HOU,2024-03-02,18:05,D,CACTI Park of the Palm Beaches,outdoor,0,0,6,12,1,7,STLHOU20240302D
KC,CLE,2024-03-02,20:05,D,Goodyear Ballpark,outdoor,1,0,16,12,13,12,KCCLE20240302D
