home_away,ip,h,r,er,bb,so,hr,earned_run_avg,batters_faced,pitches,strikes_total,strikes_contact,strikes_swinging,strikes_looking,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_unk,game_score,inherited_runners,inherited_score,wpa_def,leverage_index_avg,re24_def,game_id,team
home,9.0,7,2,2,3,4,1,2.0,34,131,81,,11,19,12,7,8,,,0,0,,,,NYMSTL20240301D,STL
away,8.0,8,3,3,4,11,0,3.375,37,151,97,,19,28,8,8,5,,,1,1,,,,NYMSTL20240301D,NYM
home,9.0,11,4,4,3,9,1,4.0,39,66,53,,24,2,10,7,6,,,0,0,,,,OAKKC20240301D,KC2
away,8.0,7,5,3,3,10,2,3.375,34,72,54,,25,6,10,8,2,,,1,0,,,,OAKKC20240301D,OAK
home,9.0,7,3,3,2,10,0,3.0,37,64,54,,24,6,11,8,4,,,2,0,,,,BALATL20240301D,ATL
away,9.0,6,1,1,5,3,0,1.0,33,54,34,,9,0,11,9,2,,,0,0,,,,BALATL20240301D,BAL
home,9.0,18,12,11,2,10,3,11.0,50,87,73,,10,12,14,13,9,,,2,0,,,,AZCIN20240302N,IN2
away,9.0,15,8,7,5,6,0,7.0,48,79,53,,10,5,15,7,9,,,6,0,,,,AZCIN20240302N,AZC
home,9.0,7,4,4,4,11,0,4.0,40,75,57,,19,8,8,9,6,,,1,0,,,,CLELAD20240302N,LAD
away,8.0,9,6,6,5,11,1,6.75,36,79,55,,14,14,12,6,2,,,3,0,,,,CLELAD20240302N,CLE
home,9.0,10,10,7,7,8,1,7.0,44,87,54,,8,11,12,10,4,,,0,0,,,,HOUWSH20240301D,WSH
away,9.0,12,8,6,5,6,2,6.0,46,86,59,,6,15,17,11,5,,,5,2,,,,HOUWSH20240301D,HOU
home,9.0,10,6,6,2,5,0,6.0,39,144,97,,13,25,12,12,4,,,0,0,,,,CWSCHC20240301D,CHC
away,8.0,9,10,8,8,12,1,9.0,42,203,116,,20,34,10,3,6,,,5,4,,,,CWSCHC20240301D,CWS
